split,clase,img_id,x,y,w,h,added_margin,final_size
train,Peach 2,r2_245_100,0,0,100,100,4,128x128
train,Peach 2,r2_305_100,0,0,100,100,4,128x128
train,Peach 2,290_100,0,0,100,100,4,128x128
train,Peach 2,r2_147_100,0,0,100,100,4,128x128
train,Peach 2,r_246_100,0,0,100,100,4,128x128
train,Peach 2,r_163_100,0,0,100,100,4,128x128
train,Peach 2,r2_128_100,0,0,100,100,4,128x128
train,Peach 2,r2_265_100,0,0,100,100,4,128x128
train,Peach 2,r2_120_100,0,0,100,100,4,128x128
train,Peach 2,246_100,0,0,100,100,4,128x128
train,Peach 2,208_100,0,0,100,100,4,128x128
train,Peach 2,295_100,0,0,100,100,4,128x128
train,Peach 2,172_100,0,0,100,100,4,128x128
train,Peach 2,r2_171_100,0,0,100,100,4,128x128
train,Peach 2,r_272_100,0,0,100,100,4,128x128
train,Peach 2,r2_251_100,0,0,100,100,4,128x128
train,Peach 2,r_52_100,0,0,100,100,4,128x128
train,Peach 2,3_100,0,0,100,100,4,128x128
train,Peach 2,r_131_100,0,0,100,100,4,128x128
train,Peach 2,r2_151_100,0,0,100,100,4,128x128
train,Peach 2,r_165_100,0,0,100,100,4,128x128
train,Peach 2,r_92_100,0,0,100,100,4,128x128
train,Peach 2,r_258_100,0,0,100,100,4,128x128
train,Peach 2,r2_247_100,0,0,100,100,4,128x128
train,Peach 2,267_100,0,0,100,100,4,128x128
train,Peach 2,r2_127_100,0,0,100,100,4,128x128
train,Peach 2,r2_62_100,0,0,100,100,4,128x128
train,Peach 2,128_100,0,0,100,100,4,128x128
train,Peach 2,r_35_100,0,0,100,100,4,128x128
train,Peach 2,r_168_100,0,0,100,100,4,128x128
train,Peach 2,r_71_100,0,0,100,100,4,128x128
train,Peach 2,303_100,0,0,100,100,4,128x128
train,Peach 2,r2_273_100,0,0,100,100,4,128x128
train,Peach 2,r2_105_100,0,0,100,100,4,128x128
train,Peach 2,50_100,0,0,100,100,4,128x128
train,Peach 2,174_100,0,0,100,100,4,128x128
train,Peach 2,259_100,0,0,100,100,4,128x128
train,Peach 2,r_99_100,0,0,100,100,4,128x128
train,Peach 2,r2_281_100,0,0,100,100,4,128x128
train,Peach 2,r2_66_100,0,0,100,100,4,128x128
train,Peach 2,5_100,2,0,98,100,4,128x128
train,Peach 2,212_100,0,0,100,100,4,128x128
train,Peach 2,r_255_100,0,0,100,100,4,128x128
train,Peach 2,10_100,0,0,100,100,4,128x128
train,Peach 2,r2_7_100,0,0,100,100,4,128x128
